epoch,train_loss,val_mae,val_rmse
1,7.119405412470298,1.764195442199707,2.400041373214147
2,6.579371297264914,1.6641072034835815,2.3827277496775103
3,6.515282584371328,1.6508369445800781,2.3786851501445216
4,6.487268721351833,1.6694382429122925,2.377460610497632
5,6.474004786213845,1.6746227741241455,2.3792903696515175
6,6.4097782848374445,1.5807580947875977,2.3804584819696193
7,6.368877424853396,1.6707321405410767,2.3831083520547396
8,6.343395829855341,1.6900897026062012,2.395898226536379
9,6.27837932684423,1.6657986640930176,2.3942669820654277
10,6.24565699421974,1.6649082899093628,2.397252091209048
11,6.212075622435239,1.551174521446228,2.4070784888852406
12,6.142246102908532,1.6850993633270264,2.4187775524058557
13,6.04476505317944,1.7533267736434937,2.462999527510281
14,6.029601481427791,1.7421939373016357,2.44934256938812
15,5.860851016111531,1.6892657279968262,2.450289308243375
16,5.797199417426136,1.7375329732894897,2.5015974663048515
17,5.678217251319722,1.6808438301086426,2.4779218438903015
