epoch,train_loss,val_mae,val_rmse
1,6.908792676977904,1.5547435283660889,2.4575878780326805
2,6.30904268424721,1.495749592781067,2.4466875494118616
3,6.236711713266031,1.5252841711044312,2.4520542213269656
4,6.214015712729999,1.48743736743927,2.458249225363003
5,6.180332357452431,1.481104850769043,2.447309464703602
6,6.1708400853314185,1.536440134048462,2.4523084702981586
7,6.110219961271675,1.5145341157913208,2.4541533434710767
8,6.092403375695539,1.5984361171722412,2.4682901654363483
9,6.052134753378745,1.5382689237594604,2.462657315413905
10,6.021462982031448,1.5947993993759155,2.471850898326173
11,5.970709250338008,1.5446295738220215,2.481818557285734
