epoch,train_loss,val_mae,val_rmse
1,10.585094260772895,2.216533660888672,2.9751258246476486
2,8.358102905130684,2.001507043838501,2.924844467070886
3,8.234256365294268,2.086110830307007,2.909549439934027
4,8.17162818551807,2.0580508708953857,2.8986518554390983
5,8.085977979013677,1.9525617361068726,2.923378134470813
6,8.087603669354921,1.960892677307129,2.9054104812740773
7,8.037791027299084,1.8906354904174805,2.912425217875858
8,7.989524453890795,2.009162425994873,2.898192361917132
9,7.929539449497469,2.0066919326782227,2.9223017253463754
10,7.909654348853224,2.0098273754119873,2.907616734871413
11,7.795947783107321,1.9900718927383423,2.908016037415328
12,7.706695892706731,1.9564365148544312,2.927181382533792
13,7.691605145222432,1.9695312976837158,2.969997425014009
