epoch,train_loss,val_mae,val_rmse
1,9.868581164125732,1.9379546642303467,2.7210425872329975
2,8.039230637408572,2.0078535079956055,2.6955600790674397
3,7.946124538905184,1.9861258268356323,2.6956398585454178
4,7.886889201598548,1.9541162252426147,2.7008621358193907
5,7.851062443036242,1.9352271556854248,2.701878254641625
6,7.79951534793597,1.9666039943695068,2.706409289317211
7,7.777377778263719,1.9922587871551514,2.713776083477799
8,7.697706657582792,1.935283899307251,2.7290094539021488
9,7.628293761848844,1.9269436597824097,2.752910634245878
10,7.581667565777082,1.9747813940048218,2.7657891348716768
11,7.514789744572647,1.9506622552871704,2.777493801436216
12,7.417021206958752,2.043773651123047,2.812106634817737
13,7.326269546920705,1.953687071800232,2.841608771427037
14,7.208089925201846,1.927882432937622,2.835399902503472
15,7.128800759890083,1.9652283191680908,2.9021950602789803
