epoch,train_loss,val_mae,val_rmse
1,17.89833837839721,2.4414806365966797,3.66275384954123
2,14.333370929621797,1.8905577659606934,3.101226404078004
3,9.053597513110391,2.02437424659729,2.6387479532541986
4,8.24416689255841,2.149686336517334,2.6514478470983676
5,7.8722023432384765,1.812232494354248,2.6045032639727443
6,7.868884001251543,1.8489840030670166,2.6034876027069402
7,7.759943936489965,1.9528467655181885,2.5971855482842954
8,7.698859032816379,1.9027577638626099,2.5887185438631253
9,7.685069036832954,1.880571722984314,2.5919712815754186
10,7.617558552250812,1.924418568611145,2.5958343771192025
11,7.546828728560222,1.9117244482040405,2.6007369280883283
