name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,fpl_id,season,now_cost,opponent_name,opponent_short_name,opponent_code,opponent_strength,opponent_strength_overall_home,opponent_strength_overall_away,opponent_strength_attack_home,opponent_strength_attack_away,opponent_strength_defence_home,opponent_strength_defence_away,us_shots,us_id,us_season,us_roster_id,us_key_passes,us_npg,us_npxG,us_xGChain,us_xGBuildup,player_id,opp_dyn_attack,opp_dyn_defence,opp_dyn_overall,kickoff_time_dt
Elliot Anderson,MID,Nott'm Forest,2.0,1,1,24,0,21.3,517,0.28,0.67,0.39,1.5,4,1,0,7.0,28.6,2025-08-17T13:00:00Z,90,5,0,0,0,0,1,0,664673,1,1.0,3.0,20.0,6,0,0,0,55,True,0,1,517,2025-26,5.5,Brentford,BRE,94,3,1135,1215,1120,1160,1150,1270,3.0,28785.0,2025.0,732253.0,1.0,0.0,0.4238816797733307,1.6045323610305786,0.8661668300628662,9154.0,1014.1383723275108,1192.939230472288,1103.5388013998995,2025-08-17 13:00:00+00:00
James Tarkowski,DEF,Everton,3.8,0,0,7,0,2.1,291,0.01,0.21,0.2,2.07,10,1,0,4.0,31.0,2025-08-18T19:00:00Z,90,11,0,0,0,0,1,0,704639,1,0.0,1.0,7.0,4,0,0,0,55,False,0,1,291,2025-26,5.5,Leeds,LEE,2,3,1100,1205,1050,1160,1150,1250,1.0,28787.0,2025.0,732662.0,0.0,0.0,0.3569940626621246,0.0,0.0,1665.0,1010.4541291787765,616.4492545612638,813.4516918700201,2025-08-18 19:00:00+00:00
Ollie Watkins,FWD,Aston Villa,2.3,0,0,12,1,12.2,64,0.01,0.13,0.12,1.43,2,0,0,5.0,10.6,2025-08-16T11:30:00Z,90,15,0,0,0,0,1,0,2661379,1,0.0,0.0,27.0,2,0,0,0,90,True,0,1,64,2025-26,9.0,Newcastle,NEW,4,3,1120,1205,1130,1120,1110,1290,1.0,28779.0,2025.0,731707.0,1.0,0.0,0.0799555703997612,0.143439844250679,0.0,8865.0,1365.2354753419772,1326.3294810012892,1345.782478171633,2025-08-16 11:30:00+00:00
Iliman Ndiaye,MID,Everton,2.7,0,0,11,0,12.1,299,0.02,0.02,0.0,2.07,10,1,0,2.7,12.6,2025-08-18T19:00:00Z,90,11,0,0,0,0,1,0,1180499,1,0.0,1.0,2.0,2,0,0,0,65,False,0,1,299,2025-26,6.5,Leeds,LEE,2,3,1100,1205,1050,1160,1150,1250,0.0,28787.0,2025.0,732668.0,1.0,0.0,0.0,0.0354994907975196,0.0,9307.0,1010.4541291787765,616.4492545612638,813.4516918700201,2025-08-18 19:00:00+00:00
William Saliba,DEF,Arsenal,4.5,0,1,25,1,0.1,6,0.0,0.0,0.0,1.52,9,0,0,3.2,31.4,2025-08-17T15:30:00Z,90,14,0,0,0,0,1,0,1257079,1,1.0,0.0,0.0,9,0,0,0,60,False,0,1,6,2025-26,6.0,Man Utd,MUN,1,4,1180,1250,1120,1190,1240,1310,0.0,28786.0,2025.0,732471.0,0.0,0.0,0.0,0.0608952939510345,0.0608952939510345,6888.0,1441.2764410028926,1129.0369223696491,1285.156681686271,2025-08-17 15:30:00+00:00
Moisés Caicedo Corozo,MID,Chelsea,2.5,0,0,18,1,3.9,241,0.04,0.08,0.04,0.66,8,0,0,3.7,31.2,2025-08-17T13:00:00Z,90,8,0,0,0,0,1,0,507894,1,0.0,0.0,2.0,5,0,0,0,55,True,0,1,241,2025-26,5.5,Crystal Palace,CRY,31,3,1160,1185,1150,1200,1170,1170,1.0,28784.0,2025.0,732226.0,0.0,0.0,0.0389928631484508,0.3989457786083221,0.3599528968334198,9453.0,1493.6710914217842,1188.2094003766226,1340.9402458992035,2025-08-17 13:00:00+00:00
Hjalmar Ekdal,DEF,Burnley,0.5,0,0,-5,0,0.5,190,0.0,0.0,0.0,2.32,6,3,0,1.8,9.8,2025-08-16T14:00:00Z,90,18,0,0,0,0,1,0,18679,1,0.0,3.0,8.0,1,0,0,0,40,False,0,1,190,2025-26,4.0,Spurs,TOT,6,3,1120,1120,1090,1090,1150,1150,0.0,28782.0,2025.0,731832.0,0.0,0.0,0.0,0.115449883043766,0.115449883043766,11704.0,949.623011816232,899.3334410130401,924.4782264146361,2025-08-16 14:00:00+00:00
John McGinn,MID,Aston Villa,1.5,0,0,10,1,19.3,54,0.09,0.09,0.0,1.33,2,0,0,3.0,5.0,2025-08-16T11:30:00Z,83,15,0,0,0,0,1,0,63899,1,0.0,0.0,6.0,3,0,0,0,55,True,0,1,54,2025-26,5.5,Newcastle,NEW,4,3,1120,1205,1130,1120,1110,1290,0.0,28779.0,2025.0,731704.0,1.0,0.0,0.0,0.0,0.0,7723.0,1365.2354753419772,1326.3294810012892,1345.782478171633,2025-08-16 11:30:00+00:00
Cole Palmer,MID,Chelsea,3.6,0,0,10,1,16.9,235,0.03,0.2,0.17,0.66,8,0,0,4.5,4.8,2025-08-17T13:00:00Z,90,8,0,0,0,0,1,0,6063687,1,0.0,0.0,23.0,3,0,0,0,105,True,0,1,235,2025-26,10.5,Crystal Palace,CRY,31,3,1160,1185,1150,1200,1170,1170,4.0,28784.0,2025.0,732228.0,1.0,0.0,0.2235148698091507,0.4012203812599182,0.2348302900791168,8497.0,1493.6710914217842,1188.2094003766226,1340.9402458992035,2025-08-17 13:00:00+00:00
Bukayo Saka,MID,Arsenal,3.5,0,0,7,1,16.4,16,0.09,0.24,0.15,1.52,9,0,0,3.5,12.0,2025-08-17T15:30:00Z,90,14,0,0,0,0,1,0,1602493,1,1.0,0.0,7.0,3,0,0,0,100,False,0,1,16,2025-26,10.0,Man Utd,MUN,1,4,1180,1250,1120,1190,1240,1310,1.0,28786.0,2025.0,732476.0,1.0,0.0,0.1351037770509719,0.2805245518684387,0.0869006887078285,7322.0,1441.2764410028926,1129.0369223696491,1285.156681686271,2025-08-17 15:30:00+00:00
