epoch,train_loss,val_mae,val_rmse
1,10.048455529444677,2.054189443588257,2.694394339481216
2,8.381437473632031,2.129854440689087,2.7035391606041
3,8.31207826669098,2.0169849395751953,2.681488410647256
4,8.25061570838899,2.002500534057617,2.680628041510036
5,8.200354606064256,2.1208653450012207,2.6974355987978407
6,8.166999170891328,2.1035447120666504,2.7064049727048864
7,8.13492169804135,1.961398720741272,2.6892133175074315
8,8.095730640042973,2.125074625015259,2.706407879811903
9,8.032664185093907,2.0977320671081543,2.706445583826076
10,7.929934558134903,2.0457184314727783,2.708554674542826
11,7.9514613370894205,2.125678539276123,2.7286647791361607
12,7.86058539973948,2.0902862548828125,2.7458302356507613
13,7.807225972830446,2.1002862453460693,2.74766745045765
